# w,mag,phase
4.757236139187889421e+02,2.565696796056914586e+00,-7.010789806675664870e+00
4.801342923653450043e+02,2.579181542483377498e+00,-7.113503722303195609e+00
4.845858644816495939e+02,2.593058793353336888e+00,-7.218638424689169497e+00
4.890787094139589612e+02,2.607343377629998571e+00,-7.326283666072729517e+00
4.936132098237916921e+02,2.622050853734449571e+00,-7.436533749861625076e+00
4.981897519205160165e+02,2.637197554456987003e+00,-7.549487820463209431e+00
5.028087254942479944e+02,2.652800635185223577e+00,-7.665250175351504325e+00
5.074705239490465942e+02,2.668878125733516793e+00,-7.783930601369227098e+00
5.121755443364240818e+02,2.685448986086147460e+00,-7.905644737470682415e+00
5.169241873891598971e+02,2.702533166397246056e+00,-8.030514466340926916e+00
5.217168575554348990e+02,2.720151671624633227e+00,-8.158668337584790820e+00
5.265539630332755223e+02,2.738326631212474993e+00,-8.290242025466589837e+00
5.314359158053241572e+02,2.757081374279739538e+00,-8.425378824504990760e+00
5.363631316739240447e+02,2.776440510818073193e+00,-8.564230186588831728e+00
5.413360302965380697e+02,2.796430019454799076e+00,-8.706956303687686471e+00
5.463550352214875829e+02,2.817077342394549877e+00,-8.853726740687667629e+00
5.514205739240302364e+02,2.838411488217654988e+00,-9.004721123399976435e+00
5.565330778427645555e+02,2.860463143285326915e+00,-9.160129887370537460e+00
5.616929824163809144e+02,2.883264792582124425e+00,-9.320155093777669819e+00
5.669007271207433405e+02,2.906850850915779993e+00,-9.485011319447337996e+00
5.721567555063252257e+02,2.931257805494958291e+00,-9.654926628859763937e+00
5.774615152359820058e+02,2.956524371017468678e+00,-9.830143636976112376e+00
5.828154581230845679e+02,2.982691658527118594e+00,-1.001092067280233699e+01
5.882190401699955373e+02,3.009803359437610570e+00,-1.019753305484279160e+01
5.936727216069126598e+02,3.037905946279245928e+00,-1.039027449100786882e+01
5.991769669310618838e+02,3.067048891899988750e+00,-1.058945861714849812e+01
6.047322449462642453e+02,3.097284909049563772e+00,-1.079542069023264617e+01
6.103390288028621171e+02,3.128670212495572311e+00,-1.100851945428637180e+01
6.159977960380168724e+02,3.161264806067273891e+00,-1.122913919964148022e+01
6.217090286163827386e+02,3.195132797298286587e+00,-1.145769203881099685e+01
6.274732129711574089e+02,3.230342742647085874e+00,-1.169462042551175074e+01
6.332908400455114588e+02,3.266968026617153686e+00,-1.194039994704013097e+01
6.391624053344005461e+02,3.305087278479996726e+00,-1.219554242446345071e+01
6.450884089267692616e+02,3.344784830727267178e+00,-1.246059936001121926e+01
6.510693555481454950e+02,3.386151223845331515e+00,-1.273616577674988015e+01
6.571057546036270196e+02,3.429283762519246270e+00,-1.302288450223538341e+01
6.631981202212675726e+02,3.474287128933853275e+00,-1.332145095551666891e+01
6.693469712958660693e+02,3.521274059446664939e+00,-1.363261850579357848e+01
6.755528315331639533e+02,3.570366091556382404e+00,-1.395720448143310044e+01
6.818162294944479527e+02,3.621694388773991857e+00,-1.429609692017332989e+01
6.881376986415669990e+02,3.675400651705742927e+00,-1.465026216549648019e+01
6.945177773823696725e+02,3.731638124354621944e+00,-1.502075343068037050e+01
7.009570091165618351e+02,3.790572705301601619e+00,-1.540872047135209399e+01
7.074559422819878591e+02,3.852384173983053106e+00,-1.581542052994277725e+01
7.140151304013403433e+02,3.917267542651737600e+00,-1.624223074182236459e+01
7.206351321293052479e+02,3.985434544672304735e+00,-1.669066222369710317e+01
7.273165113001454074e+02,4.057115269379362843e+00,-1.716237610076882092e+01
7.340598369757211685e+02,4.132559952560737493e+00,-1.765920177093572008e+01
7.408656834939567943e+02,4.212040929354047947e+00,-1.818315775274713531e+01
7.477346305177587737e+02,4.295854752440580349e+00,-1.873647551967835057e+01
7.546672630843886509e+02,4.384324472148383833e+00,-1.932162678723476645e+01
7.616641716552892376e+02,4.477802065393674980e+00,-1.994135479183552917e+01
7.687259521663728492e+02,4.576670985824955018e+00,-2.059871018126905184e+01
7.758532060787836144e+02,4.681348786017656138e+00,-2.129709222474271613e+01
7.830465404301182843e+02,4.792289731192690638e+00,-2.204029614360365485e+01
7.903065678861347578e+02,4.909987278635325580e+00,-2.283256745658334097e+01
7.976339067929272915e+02,5.034976232101195492e+00,-2.367866431668987914e+01
8.050291812295980662e+02,5.167834288160077172e+00,-2.458392887497736723e+01
8.124930210614047610e+02,5.309182560834082132e+00,-2.555436871358003970e+01
8.200260619934131228e+02,5.459684487335731973e+00,-2.659674930537435245e+01
8.276289456246344116e+02,5.620042261519070159e+00,-2.771869821559752012e+01
8.353023195026778467e+02,5.790989587115709547e+00,-2.892882126164557022e+01
8.430468371788966806e+02,5.973279057586504237e+00,-3.023682993900554195e+01
8.508631582640581428e+02,6.167661815272848180e+00,-3.165367787689262968e+01
8.587519484845170155e+02,6.374856279417770111e+00,-3.319170157504515828e+01
8.667138797389233105e+02,6.595501629436325786e+00,-3.486475672246534430e+01
8.747496301554415368e+02,6.830090388229583809e+00,-3.668833536770137727e+01
8.828598841495149827e+02,7.078872952197720281e+00,-3.867964027709417252e+01
8.910453324821512524e+02,7.341725508276610412e+00,-4.085758004215183092e+01
8.993066723187622529e+02,7.617972023189684805e+00,-4.324263104268976576e+01
9.076446072885356671e+02,7.906151972000198924e+00,-4.585649004657741301e+01
9.160598475443709958e+02,8.203730067771610734e+00,-4.872141558888515078e+01
9.245531098233570901e+02,8.506755313057910328e+00,-5.185913257232906659e+01
9.331251175078249389e+02,8.809497803856931597e+00,-5.528916453968469824e+01
