# w,mag,phase
1.143184250129149759e-01,4.572737059081144034e-05,8.999869000732834934e+01
1.175277117462945192e-01,4.701108533488373905e-05,8.999865323160987884e+01
1.208270935044776506e-01,4.833083809327017114e-05,8.999861542347832710e+01
1.242190995452617380e-01,4.968764056947011450e-05,8.999857655395055644e+01
1.277063301308644094e-01,5.108253286878401992e-05,8.999853659322972987e+01
1.312914585212465457e-01,5.251658429564543310e-05,8.999849551068253106e+01
1.349772330233942608e-01,5.399089417333685821e-05,8.999845327481567381e+01
1.387664790981308627e-01,5.550659268671798212e-05,8.999840985325175780e+01
1.426621015260737535e-01,5.706484174861207087e-05,8.999836521270438539e+01
1.466670866343968427e-01,5.866683589051488337e-05,8.999831931895280945e+01
1.507845045861051780e-01,6.031380317830885150e-05,8.999827213681548699e+01
1.550175117335770292e-01,6.200700615368467624e-05,8.999822363012329163e+01
1.593693530381775358e-01,6.374774280199178844e-05,8.999817376169168881e+01
1.638433645577983822e-01,6.553734754725985779e-05,8.999812249329220037e+01
1.684429760042315261e-01,6.737719227515421520e-05,8.999806978562322968e+01
1.731717133723353619e-01,6.926868738464898531e-05,8.999801559827983510e+01
1.780332016430113962e-01,7.121328286922475861e-05,8.999795988972273619e+01
1.830311675620611978e-01,7.321246942841915385e-05,8.999790261724653817e+01
1.881694424970555557e-01,7.526777961058288735e-05,8.999784373694700434e+01
1.934519653744045387e-01,7.738078898771695103e-05,8.999778320368724849e+01
1.988827856988809872e-01,7.955311736329177602e-05,8.999772097106340141e+01
2.044660666579116715e-01,8.178643001397475161e-05,8.999765699136871433e+01
2.102060883130158486e-01,8.408243896621706655e-05,8.999759121555732122e+01
2.161072508808377646e-01,8.644290430867962568e-05,8.999752359320636685e+01
2.221740781062884751e-01,8.886963554150353103e-05,8.999745407247748119e+01
2.284112207303824471e-01,9.136449296345983552e-05,8.999738260007701740e+01
2.348234600554276463e-01,9.392938909804164334e-05,8.999730912121523829e+01
2.414157116103018974e-01,9.656629015959277426e-05,8.999723357956423797e+01
2.481930289186255190e-01,9.927721756059585951e-05,8.999715591721481189e+01
2.551606073727185064e-01,1.020642494612761166e-04,8.999707607463209058e+01
2.623237882163123591e-01,1.049295223627090480e-04,8.999699399060975225e+01
2.696880626390692481e-01,1.078752327446526045e-04,8.999690960222338276e+01
2.772590759860482645e-01,1.109036387493608230e-04,8.999682284478187455e+01
2.850426320853434725e-01,1.140170619126679749e-04,8.999673365177820017e+01
2.930446976972143069e-01,1.172178889436726050e-04,8.999664195483812534e+01
3.012714070881163941e-01,1.205085735543843443e-04,8.999654768366801250e+01
3.097290667331408232e-01,1.238916383407370097e-04,8.999645076600079108e+01
3.184241601504653185e-01,1.273696767164099388e-04,8.999635112754062050e+01
3.273633528715245711e-01,1.309453549009400848e-04,8.999624869190598986e+01
3.365534975507094573e-01,1.346214139636499774e-04,8.999614338057098450e+01
3.460016392185110701e-01,1.384006719249576526e-04,8.999603511280530199e+01
3.557150206821386162e-01,1.422860259166801376e-04,8.999592380561220750e+01
3.657010880777491479e-01,1.462804544029875568e-04,8.999580937366499711e+01
3.759674965785467782e-01,1.503870194637094615e-04,8.999569172924152838e+01
3.865221162631263807e-01,1.546088691417452088e-04,8.999557078215703143e+01
3.973730381485608421e-01,1.589492398563780308e-04,8.999544643969490210e+01
4.085285803928563331e-01,1.634114588843430655e-04,8.999531860653571869e+01
4.199972946715306299e-01,1.679989469105520167e-04,8.999518718468404188e+01
4.317879727332023521e-01,1.727152206504305328e-04,8.999505207339339563e+01
4.439096531392170975e-01,1.775638955458788758e-04,8.999491316908898852e+01
4.563716281924758422e-01,1.825486885369229941e-04,8.999477036528834617e+01
4.691834510607796327e-01,1.876734209111829868e-04,8.999462355251962720e+01
4.823549431001467602e-01,1.929420212333409152e-04,8.999447261823772237e+01
4.958962013837214244e-01,1.983585283568585771e-04,8.999431744673805156e+01
5.098176064420424369e-01,2.039270945202518016e-04,8.999415791906768902e+01
5.241298302206058857e-01,2.096519885302970232e-04,8.999399391293434292e+01
5.388438442608223244e-01,2.155375990346115672e-04,8.999382530261252100e+01
5.539709281106403038e-01,2.215884378861172519e-04,8.999365195884713842e+01
5.695226779712825316e-01,2.278091436019679501e-04,8.999347374875443961e+01
5.855110155867241373e-01,2.342044849195938823e-04,8.999329053572020598e+01
6.019481973827274235e-01,2.407793644525905768e-04,8.999310217929486555e+01
6.188468238624386109e-01,2.475388224492563235e-04,8.999290853508591681e+01
6.362198492657489268e-01,2.544880406566611773e-04,8.999270945464724036e+01
6.540805914998255588e-01,2.616323462932127787e-04,8.999250478536526998e+01
