# w,mag,phase
4.378068629038168780e+01,1.934134465070364239e+00,-1.474520730896993292e+01
4.459627626819093393e+01,1.931773542720926384e+00,-1.500864330853433515e+01
4.542705986374045324e+01,1.929332237981571163e+00,-1.527637963342050575e+01
4.627332011878691276e+01,1.926808118339889520e+00,-1.554846486728245303e+01
4.713534534786906960e+01,1.924198699287848813e+00,-1.582494697407860151e+01
4.801342923653449901e+01,1.921501444791669844e+00,-1.610587322277898537e+01
4.890787094139589897e+01,1.918713767905450673e+00,-1.639129010889239169e+01
4.981897519205160307e+01,1.915833031538054065e+00,-1.668124327278741958e+01
5.074705239490465658e+01,1.912856549383000093e+00,-1.697577741479057067e+01
5.169241873891598260e+01,1.909781587021280425e+00,-1.727493620705488908e+01
5.265539630332755650e+01,1.906605363207171555e+00,-1.757876220220386188e+01
5.363631316739240162e+01,1.903325051347202868e+00,-1.788729673876811432e+01
5.463550352214875971e+01,1.899937781182526875e+00,-1.820057984344530411e+01
5.565330778427645697e+01,1.896440640684901702e+00,-1.851865013022890949e+01
5.669007271207433973e+01,1.892830678176462778e+00,-1.884154469646694352e+01
5.774615152359820058e+01,1.889104904683321706e+00,-1.916929901592872554e+01
5.882190401699956084e+01,1.885260296532831559e+00,-1.950194682897612708e+01
5.991769669310618696e+01,1.881293798204074941e+00,-1.983952002995470210e+01
6.103390288028621313e+01,1.877202325440758379e+00,-2.018204855194096581e+01
6.217090286163826818e+01,1.872982768635241602e+00,-2.052956024900344190e+01
6.332908400455114872e+01,1.868631996491854075e+00,-2.088208077615802338e+01
6.450884089267692900e+01,1.864146859976977710e+00,-2.123963346722196732e+01
6.571057546036270480e+01,1.859524196562600151e+00,-2.160223921079570175e+01
6.693469712958660978e+01,1.854760834769114686e+00,-2.196991632462739830e+01
6.818162294944478674e+01,1.849853599012123873e+00,-2.234268042864185944e+01
6.945177773823695588e+01,1.844799314756832898e+00,-2.272054431694269994e+01
7.074559422819878307e+01,1.839594813982321497e+00,-2.310351782912454155e+01
7.206351321293053047e+01,1.834236940956544215e+00,-2.349160772126060692e+01
7.340598369757212538e+01,1.828722558321335345e+00,-2.388481753695941734e+01
7.477346305177587737e+01,1.823048553484977186e+00,-2.428314747891327130e+01
7.616641716552891239e+01,1.817211845318040808e+00,-2.468659428138948897e+01
7.758532060787835860e+01,1.811209391146199943e+00,-2.509515108414383278e+01
7.903065678861348431e+01,1.805038194031623355e+00,-2.550880730826285259e+01
8.050291812295981231e+01,1.798695310332265818e+00,-2.592754853446845686e+01
8.200260619934130091e+01,1.792177857526043638e+00,-2.635135638444366890e+01
8.353023195026779035e+01,1.785483022284375831e+00,-2.678020840576189343e+01
8.508631582640582280e+01,1.778608068777025375e+00,-2.721407796102436905e+01
8.667138797389233673e+01,1.771550347187510477e+00,-2.765293412182992938e+01
8.828598841495150396e+01,1.764307302415661027e+00,-2.809674156821839830e+01
8.993066723187622813e+01,1.756876482941121864e+00,-2.854546049424317289e+01
9.160598475443708821e+01,1.749255549818869770e+00,-2.899904652033929153e+01
9.331251175078250526e+01,1.741442285775020249e+00,-2.945745061316055668e+01
9.505082962189506190e+01,1.733434604368492282e+00,-2.992061901356237641e+01
9.682153059967080821e+01,1.725230559181438084e+00,-3.038849317340595491e+01
9.862521794868779068e+01,1.716828352998779561e+00,-3.086100970185289682e+01
1.004625061717340344e+02,1.708226346934765605e+00,-3.133810032180938876e+01
1.023340212191642280e+02,1.699423069462193681e+00,-3.181969183716192617e+01
1.042404007021555827e+02,1.690417225297893733e+00,-3.230570611142496062e+01
1.061822941099384678e+02,1.681207704096211897e+00,-3.279606005839452365e+01
1.081603630310709434e+02,1.671793588900731153e+00,-3.329066564536621797e+01
1.101752813788387328e+02,1.662174164303168444e+00,-3.378942990943995284e+01
1.122277356208507086e+02,1.652348924257549534e+00,-3.429225498738514943e+01
1.143184250129150286e+02,1.642317579497182489e+00,-3.479903815949242585e+01
1.164480618372685541e+02,1.632080064501912675e+00,-3.530967190777778342e+01
1.186173716452479141e+02,1.621636543963377308e+00,-3.582404398884605712e+01
1.208270935044775882e+02,1.610987418696853579e+00,-3.634203752164920331e+01
1.230779802506665845e+02,1.600133330949452315e+00,-3.686353109030596187e+01
1.253707987440919709e+02,1.589075169056257453e+00,-3.738839886206847041e+01
1.277063301308644725e+02,1.577814071398146334e+00,-3.791651072044379589e+01
1.300853701090570667e+02,1.566351429617873992e+00,-3.844773241339023429e+01
1.325087291997953969e+02,1.554688891054143429e+00,-3.898192571642397297e+01
1.349772330233941773e+02,1.542828360357186401e+00,-3.951894861037914097e+01
1.374917225806419196e+02,1.530772000253475262e+00,-4.005865547347681854e+01
1.400530545393219768e+02,1.518522231431887359e+00,-4.060089728726395464e+01
1.426621015260736840e+02,1.506081731528579937e+00,-4.114552185589564459e+01
1.453197524236895504e+02,1.493453433193277169e+00,-4.169237403814268106e+01
1.480269126739508465e+02,1.480640521225329520e+00,-4.224129599142028724e+01
1.507845045861051005e+02,1.467646428773878409e+00,-4.279212742704999783e+01
1.535934676510896963e+02,1.454474832602619117e+00,-4.334470587588673141e+01
1.564547588616095766e+02,1.441129647425954508e+00,-4.389886696336875360e+01
1.593693530381774508e+02,1.427615019329715906e+00,-4.445444469297925139e+01
1.623382431612278083e+02,1.413935318295997501e+00,-4.501127173704619366e+01
1.653624407094180526e+02,1.400095129857979792e+00,-4.556917973375252728e+01
1.684429760042315252e+02,1.386099245916787348e+00,-4.612799958918201071e+01
1.715808985610004811e+02,1.371952654758386236e+00,-4.668756178318813710e+01
1.747772774464680765e+02,1.357660530314237057e+00,-4.724769667784443072e+01
1.780332016430113811e+02,1.343228220714742793e+00,-4.780823482721523021e+01
1.813497804196495338e+02,1.328661236189483397e+00,-4.836900728717598241e+01
1.847281437099634047e+02,1.313965236372701684e+00,-4.892984592401237620e+01
1.881694424970555701e+02,1.299146017076471926e+00,-4.949058372053707444e+01
1.916748492056815110e+02,1.284209496597384037e+00,-5.005105507848269042e+01
1.952455581016861004e+02,1.269161701625404648e+00,-5.061109611595831126e+01
1.988827856988809799e+02,1.254008752825758854e+00,-5.117054495879501985e+01
2.025877711735017215e+02,1.238756850166250034e+00,-5.172924202465235055e+01
2.063617767863858603e+02,1.223412258063341529e+00,-5.228703029881256015e+01
2.102060883130158402e+02,1.207981290420590659e+00,-5.284375560065140576e+01
2.141220154815729302e+02,1.192470295632654942e+00,-5.339926683984305100e+01
2.181108924191519804e+02,1.176885641627085644e+00,-5.395341626143130043e+01
2.221740781062882490e+02,1.161233701014543707e+00,-5.450605967897902104e+01
2.263129568399529603e+02,1.145520836415886645e+00,-5.505705669509153921e+01
2.305289387051706171e+02,1.129753386031923545e+00,-5.560627090869593303e+01
2.348234600554276312e+02,1.113937649518399020e+00,-5.615357010854943809e+01
2.391979840020237305e+02,1.098079874225247554e+00,-5.669882645253774456e+01
